Feature,Importance
SrcMac,0.49706095781317167
DstJitter,0.0756454719770963
DIntPkt,0.07388695239203759
SrcLoad,0.06395483765026164
DstLoad,0.05830755040414219
SIntPkt,0.050165992221563156
Load,0.04392147263681678
Rate,0.04061153638126272
Dur,0.040201473973993214
Packet_num,0.011934499041632534
SrcJitter,0.010811334346041878
Sport,0.006400410892747557
Pulse_Rate,0.0040645745219874095
Temp,0.0034024617530680535
Resp_Rate,0.003366499647193731
Heart_rate,0.0021969016266551655
ST,0.002100367939951364
TotPkts,0.001992956905320851
SrcBytes,0.0017128271685925324
SpO2,0.0016061951853825228
DstBytes,0.0015910669112688225
TotBytes,0.0013664562564542524
SYS,0.0011631044920393603
DIA,0.0011587894786007616
pLoss,0.00047440928078640803
pSrcLoss,0.0003274163571343939
Loss,0.0002347299871563737
SIntPktAct,0.00014440555231518145
pDstLoss,0.00010386917116722417
sMaxPktSz,5.55854216207108e-05
sMinPktSz,3.4892612537649127e-05
DstAddr,0.0
SrcAddr,0.0
SrcGap,0.0
Dport,0.0
Trans,0.0
DIntPktAct,0.0
DstGap,0.0
dMinPktSz,0.0
dMaxPktSz,0.0
DstMac,0.0
